value,n,name,pct
MX,1,CUSTODY,4.680709387719681e-8
RMV,63040,Case_type,0.9816562334547946
AOC,361,Case_type,0.005621476844498427
DEP,358,Case_type,0.005574760970444423
WHO,302,Case_type,0.0047027313214363575
EXC,99,Case_type,0.001541623843782117
CFR,50,Case_type,7.785979009000592e-4
NAC,3,Case_type,4.671587405400355e-5
RFR,3,Case_type,4.671587405400355e-5
CSR,1,Case_type,1.5571958018001183e-5
REC,1,Case_type,1.5571958018001183e-5
237a02Aiii,14,Charge_6,0.2028985507246377
237a02Bi,9,Charge_6,0.13043478260869565
212a07Ai  I,6,Charge_6,0.08695652173913043
237a02C,6,Charge_6,0.08695652173913043
237a02Ei,6,Charge_6,0.08695652173913043
212a06Ai,5,Charge_6,0.07246376811594203
212a06Ci,4,Charge_6,0.057971014492753624
237a02Aii,4,Charge_6,0.057971014492753624
237a01B,3,Charge_6,0.043478260869565216
212a02Ai  I,2,Charge_6,0.028985507246376812
212a02Ai  II,2,Charge_6,0.028985507246376812
212a02C,2,Charge_6,0.028985507246376812
212a02B,1,Charge_6,0.014492753623188406
212a07Bi  II,1,Charge_6,0.014492753623188406
212a09Ai,1,Charge_6,0.014492753623188406
212a09Aii,1,Charge_6,0.014492753623188406
237a02Eii,1,Charge_6,0.014492753623188406
241a02Aii,1,Charge_6,0.014492753623188406
1974-11-14 00:00:00.000,1,DATE_MAILED_TO_IJ,0.25
1992-06-03 00:00:00.000,1,DATE_MAILED_TO_IJ,0.25
1993-03-03 00:00:00.000,1,DATE_MAILED_TO_IJ,0.25
1993-04-23 00:00:00.000,1,DATE_MAILED_TO_IJ,0.25
1974-11-14 00:00:00.000,1,DATE_RECD_FROM_BIA,0.09090909090909091
1989-02-22 00:00:00.000,1,DATE_RECD_FROM_BIA,0.09090909090909091
1991-11-13 00:00:00.000,1,DATE_RECD_FROM_BIA,0.09090909090909091
1992-04-28 00:00:00.000,1,DATE_RECD_FROM_BIA,0.09090909090909091
1992-06-15 00:00:00.000,1,DATE_RECD_FROM_BIA,0.09090909090909091
1993-03-03 00:00:00.000,1,DATE_RECD_FROM_BIA,0.09090909090909091
1993-04-28 00:00:00.000,1,DATE_RECD_FROM_BIA,0.09090909090909091
1993-11-10 00:00:00.000,1,DATE_RECD_FROM_BIA,0.09090909090909091
1994-08-23 00:00:00.000,1,DATE_RECD_FROM_BIA,0.09090909090909091
1995-07-25 00:00:00.000,1,DATE_RECD_FROM_BIA,0.09090909090909091
1995-09-07 00:00:00.000,1,DATE_RECD_FROM_BIA,0.09090909090909091
1974-11-14 00:00:00.000,1,DATE_TO_BIA,0.06666666666666667
1989-01-09 00:00:00.000,1,DATE_TO_BIA,0.06666666666666667
1989-07-07 00:00:00.000,1,DATE_TO_BIA,0.06666666666666667
1991-09-18 00:00:00.000,1,DATE_TO_BIA,0.06666666666666667
1992-03-09 00:00:00.000,1,DATE_TO_BIA,0.06666666666666667
1992-04-28 00:00:00.000,1,DATE_TO_BIA,0.06666666666666667
1992-06-02 00:00:00.000,1,DATE_TO_BIA,0.06666666666666667
1993-03-03 00:00:00.000,1,DATE_TO_BIA,0.06666666666666667
1993-11-10 00:00:00.000,1,DATE_TO_BIA,0.06666666666666667
1993-12-28 00:00:00.000,1,DATE_TO_BIA,0.06666666666666667
1994-03-25 00:00:00.000,1,DATE_TO_BIA,0.06666666666666667
1994-07-12 00:00:00.000,1,DATE_TO_BIA,0.06666666666666667
1995-03-16 00:00:00.000,1,DATE_TO_BIA,0.06666666666666667
1995-08-08 00:00:00.000,1,DATE_TO_BIA,0.06666666666666667
1998-06-01 00:00:00.000,1,DATE_TO_BIA,0.06666666666666667
G,5642745,DEC,0.6721948445340692
D,872993,DEC,0.10399573149492501
C,556351,DEC,0.06627559351900075
A,359219,DEC,0.042792144578336216
M,180447,DEC,0.02149583989913405
N,175467,DEC,0.02090259488703805
S,156058,DEC,0.018590487971421314
O,154445,DEC,0.018398338532764517
J,97796,DEC,0.01164999783191582
G,63520,DEC,0.007566852041834971
W,51680,DEC,0.006156406069301501
W,21275,DEC,0.00253439510689608
R,16406,DEC,0.001954373025792578
D,14179,DEC,0.0016890805274114933
I,11929,DEC,0.001421048142428359
E,10101,DEC,0.0012032867203176172
O,6608,DEC,7.871813333193559e-4
J,2996,DEC,3.569000112930978e-4
F,169,DEC,2.01322102498443e-5
P,101,DEC,1.2031675948131802e-5
L,19,DEC,2.263384584302022e-6
C,2,DEC,2.3825100887389708e-7
,1,DEC,1.1912550443694854e-7
g,1,DEC,1.1912550443694854e-7
1974-11-14 00:00:00.000,1,DECISION_RENDERED,0.1111111111111111
1991-11-13 00:00:00.000,1,DECISION_RENDERED,0.1111111111111111
1992-04-28 00:00:00.000,1,DECISION_RENDERED,0.1111111111111111
1992-06-03 00:00:00.000,1,DECISION_RENDERED,0.1111111111111111
1993-03-03 00:00:00.000,1,DECISION_RENDERED,0.1111111111111111
1993-04-23 00:00:00.000,1,DECISION_RENDERED,0.1111111111111111
1993-11-10 00:00:00.000,1,DECISION_RENDERED,0.1111111111111111
1994-08-23 00:00:00.000,1,DECISION_RENDERED,0.1111111111111111
1995-07-21 00:00:00.000,1,DECISION_RENDERED,0.1111111111111111
D,136,DEC_212C,0.7120418848167539
G,33,DEC_212C,0.17277486910994763
O,19,DEC_212C,0.09947643979057591
W,2,DEC_212C,0.010471204188481676
A,1,DEC_212C,0.005235602094240838
D,743,DEC_245,0.6563604240282686
G,187,DEC_245,0.16519434628975266
O,108,DEC_245,0.09540636042402827
M,45,DEC_245,0.03975265017667844
W,33,DEC_245,0.029151943462897525
A,15,DEC_245,0.013250883392226149
F,1,DEC_245,8.833922261484099e-4
X,3943648,DEC_CODE,0.4833717650637859
R,880183,DEC_CODE,0.10788376911152776
V,814201,DEC_CODE,0.09979637495199864
T,810769,DEC_CODE,0.09937571573046089
D,657115,DEC_CODE,0.08054239054801282
U,632069,DEC_CODE,0.0774725097605319
A,189914,DEC_CODE,0.023277702622121404
E,158177,DEC_CODE,0.019387707950226405
O,41856,DEC_CODE,0.0051302774990338446
G,11220,DEC_CODE,0.001375232070411882
W,10972,DEC_CODE,0.0013448347840070562
L,3680,DEC_CODE,4.5105650794257805e-4
Z,3651,DEC_CODE,4.4750198654846537e-4
J,741,DEC_CODE,9.082415010474195e-5
H,367,DEC_CODE,4.498308109101254e-5
S,52,DEC_CODE,6.37362456875382e-6
C,5,DEC_CODE,6.128485162263289e-7
1996-05-21 00:00:00.000,1,DEC_CODE,1.2256970324526577e-7
2,1,DEC_CODE,1.2256970324526577e-7
K,1,DEC_CODE,1.2256970324526577e-7
O,4710142,DEC_TYPE,0.4837908254249784
W,4196206,DEC_TYPE,0.4310031341715912
7,693552,DEC_TYPE,0.07123651358178684
6,135995,DEC_TYPE,0.013968396983290512
"",3,DEC_TYPE,3.081377326362847e-7
A,2,DEC_TYPE,2.0542515509085647e-7
T,2,DEC_TYPE,2.0542515509085647e-7
2,1,DEC_TYPE,1.0271257754542823e-7
C,1,DEC_TYPE,1.0271257754542823e-7
R,1,DEC_TYPE,1.0271257754542823e-7
X,1,DEC_TYPE,1.0271257754542823e-7
0,6,DETENTION_DATE,1
X,47452,Dec_Code,0.7430164098709758
T,6910,Dec_Code,0.10819867217837906
V,4682,Dec_Code,0.07331203808092196
R,3182,Dec_Code,0.0498246273330828
D,596,Dec_Code,0.009332331203808093
