value,description,name,table
GRA,C/O SCI GRATERFORD                                ,inmate,inputs/Lookup/tblInmateHousing.csv
GRE,GREENSVILLE CORRECTIONAL CENTER                   ,inmate,inputs/Lookup/tblInmateHousing.csv
GSP,GEORGIA STATE PRISON                              ,inmate,inputs/Lookup/tblInmateHousing.csv
HAD,RIVERS CORRECTIONAL INST.,inmate,inputs/Lookup/tblInmateHousing.csv
HAN,HANCOCK CORRECTIONAL INSTITUTION                  ,inmate,inputs/Lookup/tblInmateHousing.csv
HAR,HARNETT CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
HAY,HAYS CORRECTIONAL INST,inmate,inputs/Lookup/tblInmateHousing.csv
HLX,HALIFAX CORRECTION CENTER                         ,inmate,inputs/Lookup/tblInmateHousing.csv
HOK,HOKE CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
HRS,HARRIS COUNTY C.I.,inmate,inputs/Lookup/tblInmateHousing.csv
HUN,SCI AT RETREAT                                    ,inmate,inputs/Lookup/tblInmateHousing.csv
HVL,HAYNESVILLE CI                                    ,inmate,inputs/Lookup/tblInmateHousing.csv
HYS,HAYES CORECTIONAL CENTER                          ,inmate,inputs/Lookup/tblInmateHousing.csv
IFW,NORTH CAROLINA INSTITUTION FOR WOMEN              ,inmate,inputs/Lookup/tblInmateHousing.csv
INC,INDIAN CREEK CORRECTIONAL FACILITY                ,inmate,inputs/Lookup/tblInmateHousing.csv
IRE,IREDEL CORRECTIONAL INSTITUTION                   ,inmate,inputs/Lookup/tblInmateHousing.csv
JAC,JACKSON COUNTY C.I.,inmate,inputs/Lookup/tblInmateHousing.csv
JCI,JOHNSON CORRECTIONAL INSTITUTION                  ,inmate,inputs/Lookup/tblInmateHousing.csv
JOH,JOHNSTON CORR. INST                               ,inmate,inputs/Lookup/tblInmateHousing.csv
JRI,JAMES RIVER CORRECTIONAL CENTER                   ,inmate,inputs/Lookup/tblInmateHousing.csv
KCI,KIRKLAND CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
KIL,"AL DEP OF CORR, KILBY CORRECTIONAL INSTITUTE      ",inmate,inputs/Lookup/tblInmateHousing.csv
KMC,KEENE MOUNTAIN CORRECTIONAL CENTER                ,inmate,inputs/Lookup/tblInmateHousing.csv
LBR,LIEBER CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
LCI,LOWNDES CORRECTIONAL INSTITUTE,inmate,inputs/Lookup/tblInmateHousing.csv
LEE,LEE CORRECTIONAL INSTITUTE,inmate,inputs/Lookup/tblInmateHousing.csv
LER,LEROY CORRECTIONAL CENTER,inmate,inputs/Lookup/tblInmateHousing.csv
LEW,C/O LEWISBURG                                     ,inmate,inputs/Lookup/tblInmateHousing.csv
LIM,LIMESTONE CC                                      ,inmate,inputs/Lookup/tblInmateHousing.csv
LIN,LINCOLN CORRECTIONAL CENTER                       ,inmate,inputs/Lookup/tblInmateHousing.csv
LOR," LORTON CORRECTIONAL FACILITY, DOC                ",inmate,inputs/Lookup/tblInmateHousing.csv
