"zcta","state","stab","ZIPName","pop20","afact2","afact"
"ZIP census tabulation area","State code","State abbr.","ZIP Code name","Total population (2020 Census)","state-to-zcta allocation factor","zcta-to-state allocation factor"
"01245","25","MA","Monterey, MA",933,0.0001,1 
"01247","25","MA","North Adams, MA",15147,0.0022,1 
"01253","25","MA","Otis, MA",808,0.0001,1 
"01254","25","MA","Richmond, MA",946,0.0001,1 
"01255","25","MA","Sandisfield, MA",959,0.0001,1 
"01256","25","MA","Savoy, MA",645,0.0001,1 
"01257","25","MA","Sheffield, MA",2140,0.0003,1 
"01258","25","MA","South Egremont, MA (PO boxes)",160,0,1 
"01259","25","MA","Southfield, MA",643,0.0001,1 
"01260","25","MA","South Lee, MA (PO boxes)",233,0,1 
"01262","25","MA","Stockbridge, MA (PO boxes)",1758,0.0003,1 
"01264","25","MA","Tyringham, MA (PO boxes)",219,0,1 
"01266","25","MA","West Stockbridge, MA",1208,0.0002,1 
"01267","25","MA","Williamstown, MA",7876,0.0011,1 
"01270","25","MA","Windsor, MA",755,0.0001,1 
"01301","25","MA","Greenfield, MA",18042,0.0026,1 
"01330","25","MA","Ashfield, MA",1500,0.0002,1 
"01331","25","MA","Athol, MA",13656,0.0019,1 
"01337","25","MA","Bernardston, MA",2562,0.0004,1 
"01338","25","MA","Buckland, MA",127,0,1 
"01339","25","MA","Charlemont, MA",1487,0.0002,1 
"01340","25","MA","Colrain, MA",1803,0.0003,1 
"01341","25","MA","Conway, MA",1539,0.0002,1 
"01342","25","MA","Deerfield, MA",1538,0.0002,1 
"01343","25","MA","Drury, MA",165,0,1 
"01344","25","MA","Erving, MA",1665,0.0002,1 
"01346","25","MA","Heath, MA",352,0.0001,1 
"01347","25","MA","Lake Pleasant, MA (PO boxes)",204,0,1 
"01349","25","MA","Millers Falls, MA",827,0.0001,1 
"01350","25","MA","Monroe Bridge, MA (PO boxes)",118,0,1 
"01351","25","MA","Montague, MA",2293,0.0003,1 
"01354","25","MA","Gill, MA",1546,0.0002,1 
"01355","25","MA","New Salem, MA",879,0.0001,1 
"01360","25","MA","Northfield, MA",2871,0.0004,1 
"01364","25","MA","Orange, MA",7665,0.0011,1 
"01366","25","MA","Petersham, MA",1187,0.0002,1 
"01367","25","MA","Rowe, MA",506,0.0001,1 
"01368","25","MA","Royalston, MA",1283,0.0002,1 
"01370","25","MA","Shelburne Falls, MA",3932,0.0006,1 
"01373","25","MA","South Deerfield, MA",4526,0.0006,1 
"01375","25","MA","Sunderland, MA",3639,0.0005,1 
"01376","25","MA","Turners Falls, MA",5324,0.0008,1 
"01378","25","MA","Warwick, MA",780,0.0001,1 
"01379","25","MA","Wendell, MA",774,0.0001,1 
"01380","25","MA","Wendell Depot, MA",82,0,1 
"01420","25","MA","Fitchburg, MA",41940,0.006,1 
"01430","25","MA","Ashburnham, MA",6303,0.0009,1 
"01431","25","MA","Ashby, MA",3193,0.0005,1 
"01432","25","MA","Ayer, MA",8221,0.0012,1 
"01434","25","MA","Devens, MA",1652,0.0002,1 
"01436","25","MA","Baldwinville, MA",3208,0.0005,1 
"01438","25","MA","East Templeton, MA (PO boxes)",414,0.0001,1 
"01440","25","MA","Gardner, MA",21577,0.0031,1 
"01450","25","MA","Groton, MA",11298,0.0016,1 
"01451","25","MA","Harvard, MA",5461,0.0008,1 
"01452","25","MA","Hubbardston, MA",4328,0.0006,1 
"01453","25","MA","Leominster, MA",43752,0.0062,1 
"01460","25","MA","Littleton, MA",10141,0.0014,1 
"01462","25","MA","Lunenburg, MA",11818,0.0017,1 
"01463","25","MA","Pepperell, MA",11621,0.0017,1 
"01464","25","MA","Shirley, MA",7427,0.0011,1 
"01468","25","MA","Templeton, MA",4309,0.0006,1 
"01469","25","MA","Townsend, MA",7055,0.001,1 
"01473","25","MA","Westminster, MA",8213,0.0012,1 
"01474","25","MA","West Townsend, MA",2072,0.0003,1 
"01475","25","MA","Winchendon, MA",10304,0.0015,1 
"01501","25","MA","Auburn, MA",16731,0.0024,1 
"01503","25","MA","Berlin, MA",3158,0.0004,1 
"01504","25","MA","Blackstone, MA",9208,0.0013,1 
"01505","25","MA","Boylston, MA",4849,0.0007,1 
"01506","25","MA","Brookfield, MA",3439,0.0005,1 
"01507","25","MA","Charlton, MA",13315,0.0019,1 
"01510","25","MA","Clinton, MA",15428,0.0022,1 
"01515","25","MA","East Brookfield, MA",2224,0.0003,1 
"01516","25","MA","Douglas, MA",8962,0.0013,1 
"01518","25","MA","Fiskdale, MA",3176,0.0005,1 
"01519","25","MA","Grafton, MA",7254,0.001,1 
"01520","25","MA","Holden, MA",16394,0.0023,1 
"01521","25","MA","Holland, MA",2603,0.0004,1 
"01522","25","MA","Jefferson, MA",3464,0.0005,1 
"01523","25","MA","Lancaster, MA",8377,0.0012,1 
"01524","25","MA","Leicester, MA",6621,0.0009,1 
"01525","25","MA","Linwood, MA (PO boxes)",73,0,1 
"01527","25","MA","Millbury, MA",13799,0.002,1 
"01529","25","MA","Millville, MA",3174,0.0005,1 
"01531","25","MA","New Braintree, MA",996,0.0001,1 
"01532","25","MA","Northborough, MA",15741,0.0022,1 
"01534","25","MA","Northbridge, MA",6233,0.0009,1 
"01535","25","MA","North Brookfield, MA",4735,0.0007,1 
"01536","25","MA","North Grafton, MA",7514,0.0011,1 
"01537","25","MA","North Oxford, MA",2141,0.0003,1 
"01540","25","MA","Oxford, MA",11032,0.0016,1 
"01541","25","MA","Princeton, MA",3495,0.0005,1 
"01542","25","MA","Rochdale, MA",2366,0.0003,1 
"01543","25","MA","Rutland, MA",9049,0.0013,1 
"01545","25","MA","Shrewsbury, MA",38316,0.0055,1 
"01550","25","MA","Southbridge, MA",17740,0.0025,1 
"01560","25","MA","South Grafton, MA",4896,0.0007,1 
"01561","25","MA","South Lancaster, MA (PO boxes)",64,0,1 
"01562","25","MA","Spencer, MA",11992,0.0017,1 
"01564","25","MA","Sterling, MA",7985,0.0011,1 
"01566","25","MA","Sturbridge, MA",6691,0.001,1 
"01568","25","MA","Upton, MA",7900,0.0011,1 
"01569","25","MA","Uxbridge, MA",14193,0.002,1 
"01570","25","MA","Webster, MA",17776,0.0025,1 
"01571","25","MA","Dudley, MA",11921,0.0017,1 
"01581","25","MA","Westborough, MA",21567,0.0031,1 
"01583","25","MA","West Boylston, MA",7652,0.0011,1 
"01585","25","MA","West Brookfield, MA",4899,0.0007,1 
"01588","25","MA","Whitinsville, MA",10106,0.0014,1 
"01590","25","MA","Sutton, MA",9279,0.0013,1 
"01602","25","MA","Worcester, MA",25382,0.0036,1 
"01603","25","MA","Worcester, MA",22417,0.0032,1 
"01604","25","MA","Worcester, MA",41301,0.0059,1 
"01605","25","MA","Worcester, MA",29218,0.0042,1 
"01606","25","MA","Worcester, MA",21651,0.0031,1 
"01607","25","MA","Worcester, MA",9378,0.0013,1 
"01608","25","MA","Worcester, MA",4996,0.0007,1 
"01609","25","MA","Worcester, MA",23870,0.0034,1 
"01610","25","MA","Worcester, MA",28717,0.0041,1 
"01611","25","MA","Cherry Valley, MA",2277,0.0003,1 
"01612","25","MA","Paxton, MA",5051,0.0007,1 
"01701","25","MA","Framingham, MA",33005,0.0047,1 
"01702","25","MA","Framingham, MA",39515,0.0056,1 
"01718","25","MA","Acton, MA",688,0.0001,1 
"01719","25","MA","Boxborough, MA",5506,0.0008,1 
"01720","25","MA","Acton, MA",23232,0.0033,1 
"01721","25","MA","Ashland, MA",18832,0.0027,1 
"01730","25","MA","Bedford, MA",14566,0.0021,1 
"01731","25","MA","Hanscom AFB, MA",1555,0.0002,1 
"01740","25","MA","Bolton, MA",5665,0.0008,1 
"01741","25","MA","Carlisle, MA",5237,0.0007,1 
"01742","25","MA","Concord, MA",18545,0.0026,1 
"01745","25","MA","Fayville, MA",433,0.0001,1 
"01746","25","MA","Holliston, MA",14996,0.0021,1 
"01747","25","MA","Hopedale, MA",6017,0.0009,1 
"01748","25","MA","Hopkinton, MA",18758,0.0027,1 
"01749","25","MA","Hudson, MA",20092,0.0029,1 
"01752","25","MA","Marlborough, MA",41793,0.0059,1 
"01754","25","MA","Maynard, MA",10730,0.0015,1 
"01756","25","MA","Mendon, MA",6228,0.0009,1 
"01757","25","MA","Milford, MA",30479,0.0043,1 
"01760","25","MA","Natick, MA",36659,0.0052,1 
"01770","25","MA","Sherborn, MA",4401,0.0006,1 
"01772","25","MA","Southborough, MA",10017,0.0014,1 
"01773","25","MA","Lincoln, MA",5651,0.0008,1 
"01775","25","MA","Stow, MA",7190,0.001,1 
"01776","25","MA","Sudbury, MA",18934,0.0027,1 
"01778","25","MA","Wayland, MA",14132,0.002,1 
"01801","25","MA","Woburn, MA",40891,0.0058,1 
"01803","25","MA","Burlington, MA",26074,0.0037,1 
"01810","25","MA","Andover, MA",35621,0.0051,1 
"01821","25","MA","Billerica, MA",30909,0.0044,1 
"01824","25","MA","Chelmsford, MA",26881,0.0038,1 
"01826","25","MA","Dracut, MA",32689,0.0046,1 
"01827","25","MA","Dunstable, MA",3358,0.0005,1 
"01830","25","MA","Haverhill, MA",27553,0.0039,1 
"01832","25","MA","Haverhill, MA",25656,0.0036,1 
"01833","25","MA","Georgetown, MA",8410,0.0012,1 
"01834","25","MA","Groveland, MA",6752,0.001,1 
"01835","25","MA","Haverhill, MA",14578,0.0021,1 
"01840","25","MA","Lawrence, MA",7121,0.001,1 
"01841","25","MA","Lawrence, MA",53654,0.0076,1 
"01843","25","MA","Lawrence, MA",28346,0.004,1 
"01844","25","MA","Methuen, MA",52970,0.0075,1 
"01845","25","MA","North Andover, MA",31855,0.0045,1 
"01850","25","MA","Lowell, MA",16670,0.0024,1 
"01851","25","MA","Lowell, MA",32691,0.0047,1 
"01852","25","MA","Lowell, MA",36708,0.0052,1 
"01854","25","MA","Lowell, MA",29561,0.0042,1 
"01860","25","MA","Merrimac, MA",6723,0.001,1 
"01862","25","MA","North Billerica, MA",11430,0.0016,1 
"01863","25","MA","North Chelmsford, MA",9536,0.0014,1 
"01864","25","MA","North Reading, MA",15554,0.0022,1 
"01867","25","MA","Reading, MA",25522,0.0036,1 
"01876","25","MA","Tewksbury, MA",31105,0.0044,1 
"01879","25","MA","Tyngsboro, MA",12368,0.0018,1 
"01880","25","MA","Wakefield, MA",27071,0.0039,1 
"01886","25","MA","Westford, MA",24618,0.0035,1 
"01887","25","MA","Wilmington, MA",23349,0.0033,1 
"01890","25","MA","Winchester, MA",22970,0.0033,1 
"01901","25","MA","Lynn, MA",2794,0.0004,1 
"01902","25","MA","Lynn, MA",50725,0.0072,1 
"01904","25","MA","Lynn, MA",19944,0.0028,1 
"01905","25","MA","Lynn, MA",27761,0.0039,1 
"01906","25","MA","Saugus, MA",28619,0.0041,1 
"01907","25","MA","Swampscott, MA",15148,0.0022,1 
"01908","25","MA","Nahant, MA",3334,0.0005,1 
"01913","25","MA","Amesbury, MA",17366,0.0025,1 
"01915","25","MA","Beverly, MA",42341,0.006,1 
"01921","25","MA","Boxford, MA",8263,0.0012,1 
"01922","25","MA","Byfield, MA",3134,0.0004,1 
"01923","25","MA","Danvers, MA",27987,0.004,1 
"01929","25","MA","Essex, MA",3618,0.0005,1 
"01930","25","MA","Gloucester, MA",29729,0.0042,1 
"01937","25","MA","Hathorne, MA (PO boxes)",100,0,1 
"01938","25","MA","Ipswich, MA",13785,0.002,1 
"01940","25","MA","Lynnfield, MA",13326,0.0019,1 
"01944","25","MA","Manchester, MA",5395,0.0008,1 
"01945","25","MA","Marblehead, MA",20462,0.0029,1 
"01949","25","MA","Middleton, MA",9779,0.0014,1 
"01950","25","MA","Newburyport, MA",18289,0.0026,1 
"01951","25","MA","Newbury, MA",3582,0.0005,1 
"01952","25","MA","Salisbury, MA",9236,0.0013,1 
"01960","25","MA","Peabody, MA",54155,0.0077,1 
"01965","25","MA","Prides Crossing, MA (PO boxes)",329,0,1 
"01966","25","MA","Rockport, MA",6992,0.001,1 
"01969","25","MA","Rowley, MA",6161,0.0009,1 
"01970","25","MA","Salem, MA",44451,0.0063,1 
"01982","25","MA","South Hamilton, MA",7618,0.0011,1 
"01983","25","MA","Topsfield, MA",6569,0.0009,1 
